,age,income,credit_score,existing_loans,employed,default,loan_amount,loan_tenure_months
0,47,105384,616,1,1,0,632304,24
1,40,69517,781,1,1,0,417102,12
2,49,28572,568,2,0,0,83408,12
3,60,71067,654,1,1,1,284268,24
4,39,68930,767,1,1,0,482510,12
5,39,67947,695,1,1,0,475629,36
6,60,73017,790,1,1,0,438102,30
7,51,117736,537,4,1,0,588680,12
8,36,68281,674,1,1,0,341405,36
9,48,149422,806,2,1,0,1045954,36
10,36,76048,609,2,1,0,380240,18
11,36,66951,782,1,1,0,468657,30
12,44,67484,681,2,1,0,337420,24
13,25,22930,734,1,1,1,160510,36
14,25,23095,801,3,1,0,161665,24
15,35,61122,734,3,1,0,488976,18
16,29,39764,652,2,1,0,238584,24
17,45,68772,744,1,1,0,412632,24
18,31,56305,647,3,1,0,394135,18
19,25,22375,721,5,1,1,156625,24
20,59,100762,599,2,1,0,705334,30
21,39,76980,702,1,1,0,615840,12
22,42,65364,795,3,1,0,522912,30
23,25,21139,676,2,1,0,147973,12
24,35,49676,787,1,1,0,397408,24
25,43,69838,900,2,1,0,558704,36
26,28,24001,697,1,1,1,144006,12
27,46,175176,749,2,1,1,1401408,12
28,34,55345,738,3,1,1,332070,30
29,38,67758,718,1,1,0,542064,36
30,34,15798,763,1,0,1,74613,24
31,64,95509,680,5,1,0,477545,12
32,41,66405,646,1,1,0,464835,36
33,29,39246,577,1,1,0,196230,18
34,51,110233,672,1,1,0,551165,18
35,27,32352,772,0,1,0,226464,36
36,44,67093,624,2,1,0,469651,30
37,25,27600,719,5,1,1,220800,36
38,26,20070,690,1,1,0,100350,36
39,44,69387,650,2,1,0,346935,36
40,50,101193,551,4,1,0,708351,36
41,44,80577,809,3,1,0,483462,18
42,40,66134,741,2,1,0,529072,30
43,38,66623,900,0,1,0,532984,36
44,25,23866,786,3,1,0,190928,36
45,33,56291,807,3,1,0,337746,12
46,36,72527,560,0,1,0,362635,12
47,54,112581,558,1,1,0,675486,12
48,46,151261,703,2,1,0,907566,18
49,25,23401,608,5,1,0,117005,36
50,45,69406,645,2,1,0,347030,24
51,37,70772,900,1,1,0,424632,36
52,33,61346,795,3,1,0,429422,36
53,49,168106,625,1,1,0,1008636,18
54,54,151874,510,5,1,1,759370,12
55,53,113998,618,1,1,0,683988,36
56,31,48573,655,3,1,0,340011,36
57,38,68921,674,2,1,0,482447,36
58,45,65037,597,2,1,0,325185,18
59,53,106698,790,3,1,0,746886,36
60,36,69337,643,2,1,1,485359,12
61,39,67118,751,1,1,0,536944,36
62,28,32647,704,2,1,0,261176,18
63,27,25193,775,0,1,0,151158,30
64,51,177871,680,2,1,0,1067226,18
65,58,20213,626,3,0,0,97036,18
66,41,73087,652,1,1,0,365435,24
67,54,29050,653,0,0,0,86095,30
68,46,172151,865,2,1,0,1377208,36
69,34,61604,706,2,1,1,492832,12
70,46,167726,700,2,1,0,1341808,12
71,60,88864,770,1,1,0,533184,24
72,41,80749,699,0,1,0,403745,30
73,60,74991,789,3,1,0,374955,30
74,25,29190,670,1,1,0,204330,36
75,51,28178,662,0,0,0,124134,12
76,43,67132,621,2,1,0,469924,18
77,38,65658,848,3,1,0,459606,18
78,43,67875,694,1,1,1,339375,36
79,25,31852,606,5,1,0,191112,18
80,39,66210,715,1,1,0,463470,24
81,46,111011,647,0,1,0,777077,24
82,59,104928,668,3,1,1,734496,12
83,35,17965,724,0,0,0,99329,36
84,32,62153,821,2,1,1,497224,24
85,35,50413,708,0,1,0,302478,30
86,52,119522,643,4,1,0,597610,24
87,45,74462,659,1,1,0,372310,24
88,35,47411,752,3,1,0,331877,24
89,48,118310,543,0,1,0,591550,24
90,43,65754,616,1,1,1,394524,36
91,53,106793,717,2,1,0,640758,18
92,33,56198,563,2,1,1,393386,24
93,38,66052,674,2,1,0,462364,30
94,37,69862,661,0,1,0,419172,30
95,25,14191,770,1,0,1,67635,24
96,45,65197,679,4,1,0,325985,30
97,45,67874,794,1,1,0,542992,12
98,42,70134,706,2,1,0,420804,24
99,39,68512,842,5,1,0,479584,30
100,25,21313,589,2,1,1,149191,12
101,36,67646,829,5,1,0,541168,30
102,37,66710,667,4,1,1,333550,18
103,32,16416,817,3,0,0,73468,36
104,40,76496,794,2,1,0,611968,36
105,46,29031,471,1,0,1,79289,24
106,64,13086,738,1,0,0,97949,12
107,44,82899,779,3,1,0,663192,18
108,45,67599,806,3,1,1,540792,18
109,41,65701,605,1,1,0,328505,24
110,25,34358,747,4,1,0,206148,12
111,41,72009,715,2,1,0,432054,12
112,42,67079,734,5,1,1,536632,30
113,70,73513,779,5,1,1,367565,24
114,39,71455,792,1,1,0,428730,30
115,45,27814,647,2,0,0,106901,18
116,41,27447,721,1,0,0,147781,36
117,27,27328,703,2,1,0,191296,30
118,55,28857,680,2,0,1,107388,12
119,51,100765,688,0,1,0,705355,18
120,51,106879,715,2,1,1,748153,12
121,31,52412,651,0,1,0,366884,36
122,58,122838,770,5,1,0,737028,18
123,25,24242,801,2,1,1,145452,12
124,49,173316,634,0,1,0,1039896,36
125,68,96359,805,1,1,0,481795,24
126,30,33615,634,3,1,0,168075,36
127,35,19492,771,3,0,1,75761,18
128,43,26828,805,2,0,0,123610,12
129,35,57055,692,3,1,0,285275,24
130,25,27715,635,3,1,0,138575,18
131,42,79430,652,1,1,0,476580,18
132,29,35724,728,0,1,0,250068,36
133,47,112537,857,2,1,0,675222,18
134,30,37331,564,3,1,1,223986,30
135,60,13841,708,0,0,0,77571,18
136,32,52802,692,3,1,0,369614,18
137,38,67702,663,1,1,0,338510,12
138,51,114377,693,2,1,0,571885,24
139,27,31389,656,0,1,0,188334,18
140,44,65180,799,2,1,0,391080,12
141,57,108845,807,3,1,0,761915,30
142,25,23927,707,2,1,0,167489,30
143,44,70128,688,0,1,0,350640,18
144,45,65750,660,1,1,0,328750,30
145,51,161924,707,2,1,0,1133468,18
146,27,26866,847,0,1,0,214928,24
147,26,23018,691,3,1,0,161126,12
148,48,29199,632,0,0,0,82576,18
149,45,68498,668,1,1,0,479486,24
150,45,78809,760,3,1,0,472854,24
151,46,177411,642,2,1,0,1064466,30
152,33,47544,697,1,1,0,237720,30
153,44,80741,737,1,1,0,645928,24
154,45,84225,648,0,1,0,589575,24
155,33,52601,558,3,1,0,315606,30
156,64,91583,614,2,1,0,457915,24
157,47,115863,631,1,1,1,811041,30
158,27,25023,681,3,1,0,125115,30
159,49,150392,703,1,1,1,902352,12
160,30,36691,765,1,1,0,293528,36
161,51,142340,601,2,1,0,854040,24
162,55,107895,754,5,1,0,647370,24
163,32,46889,670,1,1,0,234445,18
164,53,111769,557,2,1,0,782383,30
165,46,156380,701,4,1,0,1251040,12
166,51,146210,805,3,1,0,1169680,24
167,64,70825,770,3,1,1,424950,12
168,39,73089,693,0,1,0,365445,36
169,32,60945,790,3,1,1,365670,12
170,31,57777,715,0,1,0,346662,18
171,32,46138,778,1,1,0,322966,24
172,41,27886,567,2,0,1,119973,18
173,46,28872,600,3,0,1,121148,12
174,45,67468,758,3,1,0,472276,24
175,51,141108,823,1,1,0,846648,18
176,42,72617,733,2,1,0,580936,18
177,59,132039,660,5,1,1,792234,12
178,38,68547,631,0,1,0,342735,12
179,70,72638,674,1,1,0,290552,36
180,49,162677,797,0,1,0,1138739,36
181,31,46697,672,5,1,0,280182,36
182,29,36449,783,2,1,0,255143,18
183,47,179905,752,2,1,0,1259335,30
184,39,66545,837,1,1,0,399270,36
185,50,108260,716,0,1,0,866080,18
186,47,29594,696,3,0,0,86226,24
187,41,67086,787,3,1,0,402516,36
188,31,54828,625,2,1,0,383796,30
189,25,27007,664,2,1,0,189049,24
190,36,26624,565,4,0,0,110786,24
191,52,111990,599,2,1,0,671940,12
192,44,77580,853,2,1,0,465480,30
193,27,11744,755,2,0,0,77921,24
194,44,69500,590,1,1,0,347500,36
195,46,171762,795,0,1,0,1202334,36
196,31,48351,643,1,1,0,241755,12
197,43,69800,751,3,1,0,488600,12
198,42,75292,750,3,1,0,527044,30
199,28,30015,833,4,1,1,180090,24
200,46,149283,656,3,1,1,1044981,18
201,48,29957,640,1,0,0,102860,36
202,54,104257,484,2,1,0,625542,18
203,54,109003,690,3,1,0,545015,18
204,25,31343,758,1,1,0,188058,12
205,30,36701,768,0,1,0,256907,12
206,48,109222,800,3,1,0,655332,36
207,48,111057,723,1,1,0,777399,36
208,48,148040,740,1,1,0,888240,12
209,70,14304,705,1,0,1,92926,24
210,48,106427,756,0,1,0,638562,12
211,55,113177,625,1,1,0,565885,30
212,53,107940,587,2,1,0,539700,24
213,49,178905,633,4,1,0,894525,24
214,38,68719,717,1,1,0,549752,18
215,51,112534,595,2,1,0,675204,12
216,32,55732,649,2,1,0,390124,30
217,39,67712,651,0,1,0,473984,18
218,36,82743,762,1,1,0,579201,36
219,42,65390,752,0,1,0,523120,36
220,69,71250,705,3,1,0,356250,36
221,25,30018,736,5,1,0,180108,24
222,50,153733,737,3,1,0,1229864,36
223,25,20017,670,0,1,0,100085,18
224,36,80353,656,0,1,0,482118,36
225,55,111308,822,1,1,0,667848,12
226,42,67869,500,1,1,0,407214,24
227,29,39951,640,1,1,1,199755,18
228,33,60091,683,1,1,0,360546,18
229,50,144091,744,3,1,0,1152728,36
230,33,47997,790,1,1,0,335979,24
231,44,67493,848,1,1,0,404958,30
232,42,67302,692,2,1,1,403812,12
233,34,50761,698,2,1,0,253805,36
234,67,72102,729,2,1,0,360510,30
235,49,119085,657,3,1,0,714510,12
236,25,26387,605,1,1,0,158322,18
237,44,67852,692,0,1,0,407112,12
238,34,59287,759,3,1,0,415009,24
239,52,110584,680,4,1,0,552920,18
240,32,19227,733,4,0,0,70616,18
241,40,66237,550,1,1,0,397422,36
242,48,170376,701,5,1,0,1363008,18
243,52,115856,667,1,1,0,695136,36
244,27,25790,597,2,1,0,128950,24
245,37,68837,752,5,1,0,413022,30
246,36,67183,847,3,1,0,470281,12
247,34,23920,779,5,0,0,64306,18
248,63,72958,784,2,1,0,437748,12
249,46,101896,756,4,1,0,713272,36
250,26,20763,751,3,1,0,124578,12
251,53,119470,556,3,1,0,716820,24
252,67,93159,689,1,1,0,465795,18
253,54,107743,740,1,1,0,861944,24
254,25,29344,742,0,1,0,205408,30
255,36,68081,801,2,1,0,476567,12
256,57,125593,617,1,1,0,627965,36
257,33,54492,748,1,1,1,381444,36
258,47,117798,614,3,1,1,824586,36
259,51,163698,683,1,1,0,1145886,36
260,30,34285,695,3,1,0,171425,30
261,41,67984,769,2,1,0,543872,30
262,25,30476,759,3,1,0,213332,30
263,29,36821,709,2,1,0,220926,12
264,38,70617,527,2,1,0,353085,18
265,27,32450,735,3,1,0,227150,12
266,61,71841,678,2,1,0,287364,24
267,25,20296,811,1,1,1,121776,36
268,36,66407,792,2,1,0,464849,30
269,43,68823,624,2,1,0,481761,24
270,59,123923,746,0,1,0,743538,24
271,25,26430,748,0,1,0,158580,12
272,55,105662,742,2,1,0,845296,18
273,42,71415,731,4,1,0,571320,24
274,30,14837,750,2,0,1,75783,30
275,47,28870,820,2,0,1,123116,36
276,44,65412,655,4,1,0,457884,30
277,34,52118,627,2,1,0,364826,30
278,42,26795,762,3,0,0,87739,24
279,37,70372,549,2,1,0,422232,18
280,43,27833,752,2,0,0,101454,30
281,49,178584,738,0,1,0,1250088,36
282,61,86916,512,3,1,1,347664,24
