age,income,credit_score,existing_loans,employed,default,loan_amount,loan_tenure_months
47,105384,616,1,1,0,632304,36
40,69517,781,1,1,0,417102,36
49,28572,568,2,0,0,83408,36
60,71067,654,1,1,1,284268,36
39,68930,767,1,1,0,482510,36
39,67947,695,1,1,0,475629,36
60,73017,790,1,1,0,438102,36
51,117736,537,4,1,0,588680,36
36,68281,674,1,1,0,341405,36
48,149422,806,2,1,0,1045954,36
36,76048,609,2,1,0,380240,36
36,66951,782,1,1,0,468657,36
44,67484,681,2,1,0,337420,36
25,22930,734,1,1,1,160510,36
25,23095,801,3,1,0,161665,36
35,61122,734,3,1,0,488976,36
29,39764,652,2,1,0,238584,36
45,68772,744,1,1,0,412632,36
31,56305,647,3,1,0,394135,36
25,22375,721,5,1,1,156625,36
59,100762,599,2,1,0,705334,36
39,76980,702,1,1,0,615840,36
42,65364,795,3,1,0,522912,36
25,21139,676,2,1,0,147973,36
35,49676,787,1,1,0,397408,36
43,69838,900,2,1,0,558704,36
28,24001,697,1,1,1,144006,36
46,175176,749,2,1,1,1401408,36
34,55345,738,3,1,1,332070,36
38,67758,718,1,1,0,542064,36
34,15798,763,1,0,1,74613,36
64,95509,680,5,1,0,477545,36
41,66405,646,1,1,0,464835,36
29,39246,577,1,1,0,196230,36
51,110233,672,1,1,0,551165,36
27,32352,772,0,1,0,226464,36
44,67093,624,2,1,0,469651,36
25,27600,719,5,1,1,220800,36
26,20070,690,1,1,0,100350,36
44,69387,650,2,1,0,346935,36
50,101193,551,4,1,0,708351,36
44,80577,809,3,1,0,483462,36
40,66134,741,2,1,0,529072,36
38,66623,900,0,1,0,532984,36
25,23866,786,3,1,0,190928,36
33,56291,807,3,1,0,337746,36
36,72527,560,0,1,0,362635,36
54,112581,558,1,1,0,675486,36
46,151261,703,2,1,0,907566,36
25,23401,608,5,1,0,117005,36
45,69406,645,2,1,0,347030,36
37,70772,900,1,1,0,424632,36
33,61346,795,3,1,0,429422,36
49,168106,625,1,1,0,1008636,36
54,151874,510,5,1,1,759370,36
53,113998,618,1,1,0,683988,36
31,48573,655,3,1,0,340011,36
38,68921,674,2,1,0,482447,36
45,65037,597,2,1,0,325185,36
53,106698,790,3,1,0,746886,36
36,69337,643,2,1,1,485359,36
39,67118,751,1,1,0,536944,36
28,32647,704,2,1,0,261176,36
27,25193,775,0,1,0,151158,36
51,177871,680,2,1,0,1067226,36
58,20213,626,3,0,0,97036,36
41,73087,652,1,1,0,365435,36
54,29050,653,0,0,0,86095,36
