age,income,credit_score,existing_loans,existing_loan_emi,employed,default,loan_amount,loan_tenure_months,emi_to_income_ratio,loan_to_income_ratio,employment_type,cibil_risk,dti_risk,age_risk,emp_risk,loan_income_risk,risk_score
47,105384,616,1,15411,1,0,632000,24,0.15,6.0,Government,0.47333333333333333,0.6601940416845905,0.4,0.1,0.42792792792792794,0.43123769961033687
40,69517,781,1,11368,1,0,417000,12,0.16,6.0,Salaried,0.19833333333333333,1.0,0.2,0.2,0.42792792792792794,0.4336891891891892
49,28572,568,2,8969,0,1,83000,12,0.31,2.9,Gig Worker,0.5533333333333333,0.9266453559817693,0.4,0.8,0.0788288288288288,0.6094856633197667
60,71067,654,1,10870,1,0,284000,24,0.15,4.0,Entrepreneur,0.41,0.5324396539728551,0.3,0.4,0.20270270270270271,0.39651531889861924
39,68930,767,1,9628,1,0,483000,12,0.14,7.01,Salaried,0.22166666666666668,1.0,0.2,0.2,0.5416666666666666,0.45775
39,67947,695,1,9491,1,0,476000,36,0.14,7.01,Self-Employed,0.3416666666666667,0.5571308574384501,0.2,0.5,0.5416666666666666,0.44303271435961256
60,73017,790,1,9985,1,0,438000,30,0.14,6.0,Entrepreneur,0.18333333333333332,0.561170686278538,0.3,0.4,0.42792792792792794,0.3694818607588237
51,117736,537,4,58868,1,1,589000,12,0.5,5.0,Self-Employed,0.605,1.0,0.4,0.5,0.3153153153153153,0.6187972972972974
36,68281,674,1,10449,1,0,341000,36,0.15,4.99,Salaried,0.37666666666666665,0.4862558696714611,0.2,0.2,0.31418918918918926,0.34169234579624375
48,149422,806,2,46692,1,0,1046000,36,0.31,7.0,Government,0.15666666666666668,0.8448951688902969,0.4,0.1,0.5405405405405406,0.3993048733036554
36,76048,609,2,20627,1,0,380000,18,0.27,5.0,Salaried,0.485,0.9147317288885772,0.2,0.2,0.3153153153153153,0.4814802295194416
36,66951,782,1,10986,1,0,469000,30,0.16,7.01,Salaried,0.19666666666666666,0.6626571007984282,0.2,0.2,0.5416666666666666,0.36591427519960706
44,67484,681,2,21591,1,0,337000,24,0.32,4.99,Salaried,0.365,0.8800275291591751,0.2,0.2,0.31418918918918926,0.43663526066817226
25,22930,734,1,3242,1,0,161000,36,0.14,7.02,Salaried,0.27666666666666667,0.5607081132593562,0.6,0.2,0.5427927927927928,0.40459594723375797
25,23095,801,3,9731,1,0,162000,24,0.42,7.01,Salaried,0.165,1.0,0.6,0.2,0.5416666666666666,0.48074999999999996
35,61122,734,3,25763,1,0,489000,18,0.42,8.0,Self-Employed,0.27666666666666667,1.0,0.2,0.5,0.6531531531531533,0.550972972972973
29,39764,652,2,11462,1,0,239000,24,0.29,6.01,Salaried,0.41333333333333333,0.8978109736333256,0.6,0.2,0.42905405405405406,0.5128108515164396
45,68772,744,1,10367,1,0,413000,24,0.15,6.01,Salaried,0.26,0.6682790799873333,0.4,0.2,0.42905405405405406,0.3894278781049415
31,56305,647,3,24992,1,0,394000,18,0.44,7.0,Salaried,0.4216666666666667,1.0,0.2,0.2,0.5405405405405406,0.5175810810810811
25,22375,721,5,11188,1,1,157000,24,0.5,7.02,Self-Employed,0.29833333333333334,1.0,0.6,0.5,0.5427927927927928,0.580918918918919
59,100762,599,2,30905,1,0,705000,30,0.31,7.0,Salaried,0.5016666666666667,0.8998928167364683,0.3,0.2,0.5405405405405406,0.5265542852651982
39,76980,702,1,10714,1,1,616000,12,0.14,8.0,Self-Employed,0.33,1.0,0.2,0.5,0.6531531531531533,0.566972972972973
42,65364,795,3,28191,1,0,523000,30,0.43,8.0,Self-Employed,0.175,1.0,0.2,0.5,0.6531531531531533,0.520472972972973
25,21139,676,2,6172,1,0,148000,12,0.29,7.0,Salaried,0.37333333333333335,1.0,0.6,0.2,0.5405405405405406,0.5430810810810811
35,49676,787,1,7386,1,0,397000,24,0.15,7.99,Salaried,0.18833333333333332,0.8027909744030205,0.2,0.2,0.6520270270270271,0.41500179765480916
43,69838,900,2,22146,1,0,559000,36,0.32,8.0,Entrepreneur,0.0,0.8990754264101153,0.2,0.4,0.6531531531531533,0.4227418295755018
28,24001,697,1,3384,1,0,144000,12,0.14,6.0,Salaried,0.3383333333333333,1.0,0.6,0.2,0.42792792792792794,0.5156891891891893
46,175176,749,2,52702,1,0,1401000,12,0.3,8.0,Salaried,0.25166666666666665,1.0,0.4,0.2,0.6531531531531533,0.503472972972973
34,55345,738,3,25366,1,0,332000,30,0.46,6.0,Salaried,0.27,1.0,0.2,0.2,0.42792792792792794,0.45518918918918927
38,67758,718,1,9242,1,0,542000,36,0.14,8.0,Self-Employed,0.30333333333333334,0.5976552720848598,0.2,0.5,0.6531531531531533,0.458386790994188
34,15798,763,1,2421,0,0,75000,24,0.15,4.75,Gig Worker,0.22833333333333333,0.5850951597248597,0.2,0.8,0.28716216216216217,0.4378481142555393
64,95509,680,5,47754,1,0,478000,12,0.5,5.0,Entrepreneur,0.36666666666666664,1.0,0.3,0.4,0.3153153153153153,0.5172972972972973
41,66405,646,1,9094,1,0,465000,36,0.14,7.0,Self-Employed,0.42333333333333334,0.5524349739393787,0.2,0.5,0.5405405405405406,0.46618982456592584
29,39246,577,1,6415,1,0,196000,18,0.16,4.99,Salaried,0.5383333333333333,0.7348472408605926,0.6,0.2,0.31418918918918926,0.4923401885935265
51,110233,672,1,18075,1,0,551000,18,0.16,5.0,Government,0.38,0.7361091371777827,0.4,0.1,0.3153153153153153,0.405324581591743
27,32352,772,0,0,1,0,226000,36,0.0,6.99,Self-Employed,0.21333333333333335,0.3234100816939591,0.6,0.5,0.5394144144144145,0.38576468258565194
44,67093,624,2,21369,1,0,470000,30,0.32,7.01,Salaried,0.46,0.9200082141372589,0.2,0.2,0.5416666666666666,0.5092520535343147
25,27600,719,5,13800,1,0,221000,36,0.5,8.01,Salaried,0.3016666666666667,1.0,0.6,0.2,0.6542792792792793,0.5386418918918918
26,20070,690,1,2768,1,0,100000,36,0.14,4.98,Self-Employed,0.35,0.46053627119895185,0.6,0.5,0.31306306306306314,0.4270935272591974
44,69387,650,2,21583,1,0,347000,36,0.31,5.0,Self-Employed,0.4166666666666667,0.7499456884067834,0.2,0.5,0.3153153153153153,0.4797837193989932
50,101193,551,4,50596,1,1,708000,36,0.5,7.0,Self-Employed,0.5816666666666667,1.0,0.4,0.5,0.5405405405405406,0.645581081081081
44,80577,809,3,33519,1,0,483000,18,0.42,5.99,Government,0.15166666666666667,1.0,0.2,0.1,0.42680180180180183,0.39952027027027026
40,66134,741,2,19821,1,0,529000,30,0.3,8.0,Self-Employed,0.265,0.9439000950931274,0.2,0.5,0.6531531531531533,0.5334479967462549
38,66623,900,0,0,1,0,533000,36,0.0,8.0,Salaried,0.0,0.3703814887640293,0.2,0.2,0.6531531531531533,0.2505683451639803
25,23866,786,3,9740,1,0,191000,36,0.41,8.0,Salaried,0.19,1.0,0.6,0.2,0.6531531531531533,0.504972972972973
33,56291,807,3,27405,1,0,338000,12,0.49,6.0,Salaried,0.155,1.0,0.2,0.2,0.42792792792792794,0.4206891891891892
36,72527,560,0,0,1,0,363000,12,0.0,5.01,Salaried,0.5666666666666667,0.695143417853581,0.2,0.2,0.31644144144144143,0.4512520706796115
54,112581,558,1,16072,1,1,675000,12,0.14,6.0,Salaried,0.57,1.0,0.4,0.2,0.42792792792792794,0.5651891891891893
46,151261,703,2,46853,1,0,908000,18,0.31,6.0,Salaried,0.3283333333333333,1.0,0.4,0.2,0.42792792792792794,0.49268918918918925
25,23401,608,5,11700,1,0,117000,36,0.5,5.0,Salaried,0.4866666666666667,1.0,0.6,0.2,0.3153153153153153,0.5432972972972974
45,69406,645,2,20905,1,0,347000,24,0.3,5.0,Self-Employed,0.425,0.8491901116458073,0.4,0.5,0.3153153153153153,0.5270948252087492
37,70772,900,1,10715,1,0,425000,36,0.15,6.01,Salaried,0.0,0.5303546495684629,0.2,0.2,0.42905405405405406,0.25694677050022385
33,61346,795,3,25866,1,0,429000,36,0.42,6.99,Salaried,0.175,1.0,0.2,0.2,0.5394144144144145,0.44341216216216217
49,168106,625,1,27584,1,0,1009000,18,0.16,6.0,Salaried,0.4583333333333333,0.8292342882422952,0.4,0.2,0.42792792792792794,0.488997761249763
54,151874,510,5,75937,1,1,759000,12,0.5,5.0,Salaried,0.65,1.0,0.4,0.2,0.3153153153153153,0.5722972972972974
53,113998,618,1,18603,1,0,684000,36,0.16,6.0,Self-Employed,0.47,0.5497611069200045,0.4,0.5,0.42792792792792794,0.4826294659191903
31,48573,655,3,23584,1,1,340000,36,0.49,7.0,Self-Employed,0.4083333333333333,1.0,0.2,0.5,0.5405405405405406,0.5735810810810811
38,68921,674,2,21081,1,0,482000,36,0.31,6.99,Self-Employed,0.37666666666666665,0.833560378038839,0.2,0.5,0.5394144144144145,0.5223022566718719
45,65037,597,2,21157,1,0,325000,18,0.33,5.0,Salaried,0.505,1.0,0.4,0.2,0.3153153153153153,0.5287972972972973
53,106698,790,3,44062,1,0,747000,36,0.41,7.0,Entrepreneur,0.18333333333333332,1.0,0.4,0.4,0.5405405405405406,0.5060810810810811
36,69337,643,2,19536,1,0,485000,12,0.28,6.99,Salaried,0.42833333333333334,1.0,0.2,0.2,0.5394144144144145,0.5194121621621622
39,67118,751,1,9152,1,0,537000,36,0.14,8.0,Salaried,0.24833333333333332,0.5976704378027421,0.2,0.2,0.6531531531531533,0.3818905824236585
28,32647,704,2,9452,1,1,261000,18,0.29,7.99,Self-Employed,0.32666666666666666,1.0,0.6,0.5,0.6520270270270271,0.6058040540540541
27,25193,775,0,0,1,0,151000,30,0.0,5.99,Salaried,0.20833333333333334,0.3329849120346481,0.6,0.2,0.42680180180180183,0.3097664982789323
51,177871,680,2,52173,1,0,1067000,18,0.29,6.0,Government,0.36666666666666664,1.0,0.4,0.1,0.42792792792792794,0.4841891891891892
58,20213,626,3,8680,0,1,97000,18,0.43,4.8,Gig Worker,0.45666666666666667,1.0,0.7,0.8,0.2927927927927928,0.660918918918919
41,73087,652,1,11684,1,0,365000,24,0.16,4.99,Self-Employed,0.41333333333333333,0.6132493542703293,0.2,0.5,0.31418918918918926,0.44444071694596077
54,29050,653,0,0,0,0,86000,30,0.0,2.96,Gig Worker,0.4116666666666667,0.16446739338305605,0.4,0.8,0.08558558558558557,0.3774546861836019
46,172151,865,2,50166,1,0,1377000,36,0.29,8.0,Entrepreneur,0.058333333333333334,0.8559927040795581,0.4,0.4,0.6531531531531533,0.44947114899286256
