age,income,credit_score,existing_loans,existing_loan_emi,employed,default,loan_amount,loan_tenure_months,emi_to_income_ratio,loan_to_income_ratio,employment_type
47,105384,616,1,15411,1,0,632000,24,0.15,6.0,Government
40,69517,781,1,11368,1,0,417000,12,0.16,6.0,Salaried
49,28572,568,2,8969,0,1,83000,12,0.31,2.9,Gig Worker
60,71067,654,1,10870,1,0,284000,24,0.15,4.0,Entrepreneur
39,68930,767,1,9628,1,0,483000,12,0.14,7.01,Salaried
39,67947,695,1,9491,1,0,476000,36,0.14,7.01,Self-Employed
60,73017,790,1,9985,1,0,438000,30,0.14,6.0,Entrepreneur
51,117736,537,4,58868,1,1,589000,12,0.5,5.0,Self-Employed
36,68281,674,1,10449,1,0,341000,36,0.15,4.99,Salaried
48,149422,806,2,46692,1,0,1046000,36,0.31,7.0,Government
36,76048,609,2,20627,1,0,380000,18,0.27,5.0,Salaried
36,66951,782,1,10986,1,0,469000,30,0.16,7.01,Salaried
44,67484,681,2,21591,1,0,337000,24,0.32,4.99,Salaried
25,22930,734,1,3242,1,0,161000,36,0.14,7.02,Salaried
25,23095,801,3,9731,1,0,162000,24,0.42,7.01,Salaried
35,61122,734,3,25763,1,0,489000,18,0.42,8.0,Self-Employed
29,39764,652,2,11462,1,0,239000,24,0.29,6.01,Salaried
45,68772,744,1,10367,1,0,413000,24,0.15,6.01,Salaried
31,56305,647,3,24992,1,0,394000,18,0.44,7.0,Salaried
25,22375,721,5,11188,1,1,157000,24,0.5,7.02,Self-Employed
59,100762,599,2,30905,1,0,705000,30,0.31,7.0,Salaried
39,76980,702,1,10714,1,1,616000,12,0.14,8.0,Self-Employed
42,65364,795,3,28191,1,0,523000,30,0.43,8.0,Self-Employed
25,21139,676,2,6172,1,0,148000,12,0.29,7.0,Salaried
35,49676,787,1,7386,1,0,397000,24,0.15,7.99,Salaried
43,69838,900,2,22146,1,0,559000,36,0.32,8.0,Entrepreneur
28,24001,697,1,3384,1,0,144000,12,0.14,6.0,Salaried
46,175176,749,2,52702,1,0,1401000,12,0.3,8.0,Salaried
34,55345,738,3,25366,1,0,332000,30,0.46,6.0,Salaried
38,67758,718,1,9242,1,0,542000,36,0.14,8.0,Self-Employed
34,15798,763,1,2421,0,0,75000,24,0.15,4.75,Gig Worker
64,95509,680,5,47754,1,0,478000,12,0.5,5.0,Entrepreneur
41,66405,646,1,9094,1,0,465000,36,0.14,7.0,Self-Employed
29,39246,577,1,6415,1,0,196000,18,0.16,4.99,Salaried
51,110233,672,1,18075,1,0,551000,18,0.16,5.0,Government
27,32352,772,0,0,1,0,226000,36,0.0,6.99,Self-Employed
44,67093,624,2,21369,1,0,470000,30,0.32,7.01,Salaried
25,27600,719,5,13800,1,0,221000,36,0.5,8.01,Salaried
26,20070,690,1,2768,1,0,100000,36,0.14,4.98,Self-Employed
44,69387,650,2,21583,1,0,347000,36,0.31,5.0,Self-Employed
50,101193,551,4,50596,1,1,708000,36,0.5,7.0,Self-Employed
44,80577,809,3,33519,1,0,483000,18,0.42,5.99,Government
40,66134,741,2,19821,1,0,529000,30,0.3,8.0,Self-Employed
38,66623,900,0,0,1,0,533000,36,0.0,8.0,Salaried
25,23866,786,3,9740,1,0,191000,36,0.41,8.0,Salaried
33,56291,807,3,27405,1,0,338000,12,0.49,6.0,Salaried
36,72527,560,0,0,1,0,363000,12,0.0,5.01,Salaried
54,112581,558,1,16072,1,1,675000,12,0.14,6.0,Salaried
46,151261,703,2,46853,1,0,908000,18,0.31,6.0,Salaried
25,23401,608,5,11700,1,0,117000,36,0.5,5.0,Salaried
45,69406,645,2,20905,1,0,347000,24,0.3,5.0,Self-Employed
37,70772,900,1,10715,1,0,425000,36,0.15,6.01,Salaried
33,61346,795,3,25866,1,0,429000,36,0.42,6.99,Salaried
49,168106,625,1,27584,1,0,1009000,18,0.16,6.0,Salaried
54,151874,510,5,75937,1,1,759000,12,0.5,5.0,Salaried
53,113998,618,1,18603,1,0,684000,36,0.16,6.0,Self-Employed
31,48573,655,3,23584,1,1,340000,36,0.49,7.0,Self-Employed
38,68921,674,2,21081,1,0,482000,36,0.31,6.99,Self-Employed
45,65037,597,2,21157,1,0,325000,18,0.33,5.0,Salaried
53,106698,790,3,44062,1,0,747000,36,0.41,7.0,Entrepreneur
36,69337,643,2,19536,1,0,485000,12,0.28,6.99,Salaried
39,67118,751,1,9152,1,0,537000,36,0.14,8.0,Salaried
28,32647,704,2,9452,1,1,261000,18,0.29,7.99,Self-Employed
27,25193,775,0,0,1,0,151000,30,0.0,5.99,Salaried
51,177871,680,2,52173,1,0,1067000,18,0.29,6.0,Government
58,20213,626,3,8680,0,1,97000,18,0.43,4.8,Gig Worker
41,73087,652,1,11684,1,0,365000,24,0.16,4.99,Self-Employed
54,29050,653,0,0,0,0,86000,30,0.0,2.96,Gig Worker
46,172151,865,2,50166,1,0,1377000,36,0.29,8.0,Entrepreneur
34,61604,706,2,17671,1,0,493000,12,0.29,8.0,Self-Employed
46,167726,700,2,50747,1,0,1342000,12,0.3,8.0,Salaried
60,88864,770,1,12372,1,0,533000,24,0.14,6.0,Self-Employed
41,80749,699,0,0,1,0,404000,30,0.0,5.0,Salaried
60,74991,789,3,35786,1,0,375000,30,0.48,5.0,Self-Employed
25,29190,670,1,4006,1,0,204000,36,0.14,6.99,Salaried
51,28178,662,0,0,0,0,124000,12,0.0,4.4,Gig Worker
43,67132,621,2,22101,1,1,470000,18,0.33,7.0,Entrepreneur
38,65658,848,3,31155,1,0,460000,18,0.47,7.01,Entrepreneur
43,67875,694,1,9568,1,0,339000,36,0.14,4.99,Salaried
25,31852,606,5,15926,1,1,191000,18,0.5,6.0,Salaried
39,66210,715,1,10558,1,0,463000,24,0.16,6.99,Salaried
46,111011,647,0,0,1,0,777000,24,0.0,7.0,Self-Employed
59,104928,668,3,49171,1,0,734000,12,0.47,7.0,Government
35,17965,724,0,0,0,0,99000,36,0.0,5.51,Gig Worker
32,62153,821,2,19500,1,0,497000,24,0.31,8.0,Salaried
35,50413,708,0,0,1,0,302000,30,0.0,5.99,Salaried
52,119522,643,4,59761,1,0,598000,24,0.5,5.0,Government
45,74462,659,1,10218,1,0,372000,24,0.14,5.0,Salaried
35,47411,752,3,20731,1,0,332000,24,0.44,7.0,Salaried
48,118310,543,0,0,1,0,592000,24,0.0,5.0,Self-Employed
43,65754,616,1,9105,1,0,395000,36,0.14,6.01,Salaried
53,106793,717,2,34365,1,0,641000,18,0.32,6.0,Salaried
33,56198,563,2,17275,1,1,393000,24,0.31,6.99,Entrepreneur
38,66052,674,2,19145,1,0,462000,30,0.29,6.99,Salaried
37,69862,661,0,0,1,0,419000,30,0.0,6.0,Salaried
25,14191,770,1,1943,0,0,68000,24,0.14,4.79,Gig Worker
45,65197,679,4,32598,1,0,326000,30,0.5,5.0,Salaried
45,67874,794,1,9825,1,0,543000,12,0.14,8.0,Salaried
42,70134,706,2,22006,1,0,421000,24,0.31,6.0,Self-Employed
39,68512,842,5,34256,1,0,480000,30,0.5,7.01,Self-Employed
25,21313,589,2,6889,1,1,149000,12,0.32,6.99,Salaried
36,67646,829,5,33823,1,0,541000,30,0.5,8.0,Salaried
37,66710,667,4,33355,1,0,334000,18,0.5,5.01,Salaried
32,16416,817,3,7702,0,0,73000,36,0.47,4.45,Gig Worker
40,76496,794,2,24146,1,0,612000,36,0.32,8.0,Entrepreneur
46,29031,471,1,4408,0,0,79000,24,0.15,2.72,Gig Worker
64,13086,738,1,2069,0,1,98000,12,0.16,7.49,Retired
44,82899,779,3,37258,1,0,663000,18,0.45,8.0,Government
45,67599,806,3,30558,1,0,541000,18,0.45,8.0,Entrepreneur
41,65701,605,1,9712,1,0,329000,24,0.15,5.01,Entrepreneur
25,34358,747,4,17179,1,0,206000,12,0.5,6.0,Salaried
41,72009,715,2,19909,1,0,432000,12,0.28,6.0,Self-Employed
42,67079,734,5,33540,1,0,537000,30,0.5,8.01,Self-Employed
70,73513,779,5,36756,1,0,368000,24,0.5,5.01,Entrepreneur
39,71455,792,1,10320,1,0,429000,30,0.14,6.0,Salaried
45,27814,647,2,8359,0,1,107000,18,0.3,3.85,Gig Worker
41,27447,721,1,4453,0,0,148000,36,0.16,5.39,Gig Worker
27,27328,703,2,7787,1,0,191000,30,0.28,6.99,Salaried
55,28857,680,2,8502,0,1,107000,12,0.29,3.71,Gig Worker
51,100765,688,0,0,1,0,705000,18,0.0,7.0,Salaried
51,106879,715,2,33702,1,0,748000,12,0.32,7.0,Government
31,52412,651,0,0,1,0,367000,36,0.0,7.0,Salaried
58,122838,770,5,61419,1,0,737000,18,0.5,6.0,Self-Employed
25,24242,801,2,6657,1,0,145000,12,0.27,5.98,Self-Employed
49,173316,634,0,0,1,0,1040000,36,0.0,6.0,Salaried
68,96359,805,1,13846,1,0,482000,24,0.14,5.0,Entrepreneur
30,33615,634,3,14102,1,0,168000,36,0.42,5.0,Salaried
35,19492,771,3,9525,0,0,76000,18,0.49,3.9,Gig Worker
43,26828,805,2,8544,0,0,124000,12,0.32,4.62,Gig Worker
35,57055,692,3,26360,1,0,285000,24,0.46,5.0,Entrepreneur
25,27715,635,3,13398,1,1,139000,18,0.48,5.02,Self-Employed
42,79430,652,1,12638,1,0,477000,18,0.16,6.01,Salaried
29,35724,728,0,0,1,0,250000,36,0.0,7.0,Salaried
47,112537,857,2,31645,1,0,675000,18,0.28,6.0,Government
30,37331,564,3,18118,1,0,224000,30,0.49,6.0,Salaried
60,13841,708,0,0,0,0,78000,18,0.0,5.64,Retired
32,52802,692,3,23948,1,0,370000,18,0.45,7.01,Self-Employed
38,67702,663,1,10780,1,0,339000,12,0.16,5.01,Salaried
51,114377,693,2,37031,1,0,572000,24,0.32,5.0,Entrepreneur
27,31389,656,0,0,1,1,188000,18,0.0,5.99,Salaried
44,65180,799,2,18842,1,0,391000,12,0.29,6.0,Salaried
57,108845,807,3,45160,1,0,762000,30,0.41,7.0,Salaried
25,23927,707,2,6788,1,0,167000,30,0.28,6.98,Salaried
44,70128,688,0,0,1,0,351000,18,0.0,5.01,Entrepreneur
45,65750,660,1,9719,1,0,329000,30,0.15,5.0,Entrepreneur
51,161924,707,2,51667,1,0,1133000,18,0.32,7.0,Entrepreneur
27,26866,847,0,0,1,0,215000,24,0.0,8.0,Salaried
26,23018,691,3,11105,1,0,161000,12,0.48,6.99,Salaried
48,29199,632,0,0,0,0,83000,18,0.0,2.84,Gig Worker
45,68498,668,1,9262,1,0,479000,24,0.14,6.99,Entrepreneur
45,78809,760,3,35540,1,0,473000,24,0.45,6.0,Entrepreneur
46,177411,642,2,52344,1,0,1064000,30,0.3,6.0,Salaried
33,47544,697,1,6735,1,0,238000,30,0.14,5.01,Salaried
44,80741,737,1,11190,1,0,646000,24,0.14,8.0,Salaried
45,84225,648,0,0,1,1,590000,24,0.0,7.01,Entrepreneur
33,52601,558,3,22902,1,1,316000,30,0.44,6.01,Self-Employed
64,91583,614,2,29909,1,0,458000,24,0.33,5.0,Self-Employed
47,115863,631,1,16765,1,0,811000,30,0.14,7.0,Government
27,25023,681,3,11303,1,0,125000,30,0.45,5.0,Salaried
49,150392,703,1,23475,1,0,902000,12,0.16,6.0,Salaried
30,36691,765,1,5354,1,0,294000,36,0.15,8.01,Self-Employed
51,142340,601,2,46731,1,0,854000,24,0.33,6.0,Government
55,107895,754,5,53948,1,0,647000,24,0.5,6.0,Salaried
32,46889,670,1,6684,1,0,234000,18,0.14,4.99,Salaried
53,111769,557,2,33512,1,1,782000,30,0.3,7.0,Entrepreneur
46,156380,701,4,78190,1,0,1251000,12,0.5,8.0,Salaried
51,146210,805,3,62963,1,0,1170000,24,0.43,8.0,Salaried
64,70825,770,3,28919,1,0,425000,12,0.41,6.0,Self-Employed
39,73089,693,0,0,1,0,365000,36,0.0,4.99,Self-Employed
32,60945,790,3,28026,1,0,366000,12,0.46,6.01,Salaried
31,57777,715,0,0,1,0,347000,18,0.0,6.01,Salaried
32,46138,778,1,6924,1,0,323000,24,0.15,7.0,Salaried
41,27886,567,2,7615,0,1,120000,18,0.27,4.3,Gig Worker
46,28872,600,3,12417,0,1,121000,12,0.43,4.19,Gig Worker
45,67468,758,3,32840,1,0,472000,24,0.49,7.0,Salaried
51,141108,823,1,20064,1,0,847000,18,0.14,6.0,Salaried
42,72617,733,2,20238,1,0,581000,18,0.28,8.0,Salaried
59,132039,660,5,66020,1,0,792000,12,0.5,6.0,Salaried
38,68547,631,0,0,1,0,343000,12,0.0,5.0,Salaried
70,72638,674,1,11954,1,0,291000,36,0.16,4.01,Self-Employed
49,162677,797,0,0,1,0,1139000,36,0.0,7.0,Government
31,46697,672,5,23348,1,0,280000,36,0.5,6.0,Salaried
29,36449,783,2,11311,1,0,255000,18,0.31,7.0,Self-Employed
47,179905,752,2,56796,1,0,1259000,30,0.32,7.0,Self-Employed
39,66545,837,1,9458,1,0,399000,36,0.14,6.0,Salaried
50,108260,716,0,0,1,0,866000,18,0.0,8.0,Salaried
47,29594,696,3,13925,0,1,86000,24,0.47,2.91,Gig Worker
41,67086,787,3,29390,1,0,403000,36,0.44,6.01,Self-Employed
31,54828,625,2,16884,1,0,384000,30,0.31,7.0,Salaried
25,27007,664,2,8318,1,0,189000,24,0.31,7.0,Salaried
36,26624,565,4,13312,0,1,111000,24,0.5,4.17,Gig Worker
52,111990,599,2,30844,1,1,672000,12,0.28,6.0,Self-Employed
44,77580,853,2,24835,1,0,465000,30,0.32,5.99,Salaried
27,11744,755,2,3397,0,1,78000,24,0.29,6.64,Gig Worker
44,69500,590,1,9771,1,0,348000,36,0.14,5.01,Salaried
46,171762,795,0,0,1,0,1202000,36,0.0,7.0,Entrepreneur
31,48351,643,1,6587,1,0,242000,12,0.14,5.01,Self-Employed
43,69800,751,3,31981,1,0,489000,12,0.46,7.01,Salaried
42,75292,750,3,35085,1,0,527000,30,0.47,7.0,Salaried
28,30015,833,4,15008,1,0,180000,24,0.5,6.0,Salaried
46,149283,656,3,67340,1,0,1045000,18,0.45,7.0,Government
48,29957,640,1,4248,0,0,103000,36,0.14,3.44,Gig Worker
54,104257,484,2,32185,1,1,626000,18,0.31,6.0,Government
54,109003,690,3,45857,1,0,545000,18,0.42,5.0,Entrepreneur
25,31343,758,1,4881,1,0,188000,12,0.16,6.0,Salaried
30,36701,768,0,0,1,0,257000,12,0.0,7.0,Self-Employed
48,109222,800,3,48037,1,0,655000,36,0.44,6.0,Salaried
48,111057,723,1,18114,1,0,777000,36,0.16,7.0,Government
48,148040,740,1,20596,1,0,888000,12,0.14,6.0,Salaried
70,14304,705,1,2077,0,0,93000,24,0.15,6.5,Retired
48,106427,756,0,0,1,0,639000,12,0.0,6.0,Self-Employed
55,113177,625,1,15664,1,0,566000,30,0.14,5.0,Salaried
53,107940,587,2,35132,1,0,540000,24,0.33,5.0,Salaried
49,178905,633,4,89452,1,0,895000,24,0.5,5.0,Government
38,68719,717,1,9809,1,0,550000,18,0.14,8.0,Salaried
51,112534,595,2,34840,1,0,675000,12,0.31,6.0,Salaried
32,55732,649,2,17780,1,0,390000,30,0.32,7.0,Salaried
39,67712,651,0,0,1,0,474000,18,0.0,7.0,Entrepreneur
36,82743,762,1,12548,1,0,579000,36,0.15,7.0,Government
42,65390,752,0,0,1,0,523000,36,0.0,8.0,Entrepreneur
69,71250,705,3,32253,1,0,356000,36,0.45,5.0,Self-Employed
25,30018,736,5,15009,1,0,180000,24,0.5,6.0,Salaried
50,153733,737,3,63550,1,1,1230000,36,0.41,8.0,Self-Employed
25,20017,670,0,0,1,0,100000,18,0.0,5.0,Self-Employed
36,80353,656,0,0,1,0,482000,36,0.0,6.0,Self-Employed
55,111308,822,1,18023,1,0,668000,12,0.16,6.0,Self-Employed
42,67869,500,1,10996,1,1,407000,24,0.16,6.0,Self-Employed
29,39951,640,1,6152,1,0,200000,18,0.15,5.01,Salaried
33,60091,683,1,8723,1,0,361000,18,0.15,6.01,Salaried
50,144091,744,3,62885,1,0,1153000,36,0.44,8.0,Salaried
33,47997,790,1,7525,1,0,336000,24,0.16,7.0,Salaried
44,67493,848,1,10928,1,0,405000,30,0.16,6.0,Salaried
42,67302,692,2,21754,1,0,404000,12,0.32,6.0,Salaried
34,50761,698,2,16081,1,0,254000,36,0.32,5.0,Entrepreneur
67,72102,729,2,22245,1,0,361000,30,0.31,5.01,Self-Employed
49,119085,657,3,49131,1,0,715000,12,0.41,6.0,Entrepreneur
25,26387,605,1,3690,1,0,158000,18,0.14,5.99,Salaried
44,67852,692,0,0,1,0,407000,12,0.0,6.0,Salaried
34,59287,759,3,28806,1,0,415000,24,0.49,7.0,Entrepreneur
52,110584,680,4,55292,1,0,553000,18,0.5,5.0,Self-Employed
32,19227,733,4,9614,0,0,71000,18,0.5,3.69,Gig Worker
40,66237,550,1,9144,1,0,397000,36,0.14,5.99,Salaried
48,170376,701,5,85188,1,1,1363000,18,0.5,8.0,Entrepreneur
52,115856,667,1,15658,1,0,695000,36,0.14,6.0,Salaried
27,25790,597,2,7212,1,0,129000,24,0.28,5.0,Salaried
37,68837,752,5,34418,1,0,413000,30,0.5,6.0,Entrepreneur
36,67183,847,3,31393,1,0,470000,12,0.47,7.0,Salaried
34,23920,779,5,11960,0,0,64000,18,0.5,2.68,Gig Worker
63,72958,784,2,20680,1,0,438000,12,0.28,6.0,Entrepreneur
46,101896,756,4,50948,1,0,713000,36,0.5,7.0,Entrepreneur
26,20763,751,3,8852,1,0,125000,12,0.43,6.02,Salaried
53,119470,556,3,51884,1,0,717000,24,0.43,6.0,Government
67,93159,689,1,14663,1,0,466000,18,0.16,5.0,Self-Employed
54,107743,740,1,16645,1,0,862000,24,0.15,8.0,Self-Employed
25,29344,742,0,0,1,0,205000,30,0.0,6.99,Salaried
36,68081,801,2,21851,1,0,477000,12,0.32,7.01,Entrepreneur
57,125593,617,1,19433,1,0,628000,36,0.15,5.0,Salaried
33,54492,748,1,8285,1,0,381000,36,0.15,6.99,Salaried
47,117798,614,3,48701,1,0,825000,36,0.41,7.0,Government
51,163698,683,1,23905,1,0,1146000,36,0.15,7.0,Entrepreneur
30,34285,695,3,14704,1,0,171000,30,0.43,4.99,Salaried
41,67984,769,2,19351,1,1,544000,30,0.28,8.0,Salaried
25,30476,759,3,15012,1,1,213000,30,0.49,6.99,Self-Employed
29,36821,709,2,10810,1,0,221000,12,0.29,6.0,Salaried
38,70617,527,2,22846,1,0,353000,18,0.32,5.0,Salaried
27,32450,735,3,14985,1,0,227000,12,0.46,7.0,Salaried
61,71841,678,2,22823,1,0,287000,24,0.32,3.99,Self-Employed
25,20296,811,1,3046,1,0,122000,36,0.15,6.01,Salaried
36,66407,792,2,20229,1,0,465000,30,0.3,7.0,Salaried
43,68823,624,2,20616,1,1,482000,24,0.3,7.0,Entrepreneur
59,123923,746,0,0,1,0,744000,24,0.0,6.0,Salaried
25,26430,748,0,0,1,0,159000,12,0.0,6.02,Salaried
55,105662,742,2,29767,1,0,845000,18,0.28,8.0,Salaried
42,71415,731,4,35708,1,0,571000,24,0.5,8.0,Salaried
30,14837,750,2,4256,0,0,76000,30,0.29,5.12,Gig Worker
47,28870,820,2,7837,0,0,123000,36,0.27,4.26,Gig Worker
44,65412,655,4,32706,1,1,458000,30,0.5,7.0,Self-Employed
34,52118,627,2,14626,1,0,365000,30,0.28,7.0,Salaried
42,26795,762,3,13120,0,0,88000,24,0.49,3.28,Gig Worker
37,70372,549,2,23028,1,0,422000,18,0.33,6.0,Salaried
43,27833,752,2,9043,0,0,101000,30,0.32,3.63,Gig Worker
49,178584,738,0,0,1,0,1250000,36,0.0,7.0,Entrepreneur
61,86916,512,3,38097,1,1,348000,24,0.44,4.0,Self-Employed
27,11708,649,1,1586,0,1,80000,30,0.14,6.83,Gig Worker
67,96185,826,1,15664,1,0,481000,36,0.16,5.0,Self-Employed
25,21517,583,1,3181,1,0,108000,30,0.15,5.02,Self-Employed
40,66749,717,4,33374,1,0,534000,30,0.5,8.0,Entrepreneur
49,28797,619,1,4720,0,1,126000,12,0.16,4.38,Gig Worker
45,73653,643,2,23656,1,0,442000,30,0.32,6.0,Salaried
34,15627,853,0,0,0,0,71000,12,0.0,4.54,Gig Worker
39,66606,709,2,19160,1,0,400000,36,0.29,6.01,Salaried
36,26669,741,0,0,0,0,73000,30,0.0,2.74,Gig Worker
34,48139,691,4,24070,1,0,337000,24,0.5,7.0,Salaried
52,145782,578,1,23403,1,1,875000,18,0.16,6.0,Self-Employed
46,118924,605,5,59462,1,1,595000,18,0.5,5.0,Self-Employed
33,49281,794,2,13807,1,0,345000,12,0.28,7.0,Entrepreneur
52,29608,712,2,8983,0,0,98000,12,0.3,3.31,Gig Worker
45,72176,638,4,36088,1,0,433000,24,0.5,6.0,Salaried
51,107119,698,0,0,1,0,750000,36,0.0,7.0,Salaried
49,104272,752,1,16254,1,0,834000,18,0.16,8.0,Entrepreneur
32,60942,736,5,30471,1,0,366000,18,0.5,6.01,Self-Employed
35,62195,638,1,8578,1,0,435000,24,0.14,6.99,Self-Employed
50,172541,573,1,26476,1,0,863000,36,0.15,5.0,Self-Employed
49,109729,667,1,18073,1,0,549000,12,0.16,5.0,Entrepreneur
41,66672,788,1,9281,1,0,400000,18,0.14,6.0,Salaried
43,68847,768,1,10365,1,1,413000,30,0.15,6.0,Self-Employed
57,20065,732,1,3237,0,0,78000,18,0.16,3.89,Gig Worker
34,47771,686,3,22532,1,0,287000,18,0.47,6.01,Salaried
48,155678,658,3,72815,1,1,1090000,12,0.47,7.0,Entrepreneur
39,26222,687,1,4093,0,0,74000,36,0.16,2.82,Gig Worker
39,69486,762,2,20260,1,0,486000,12,0.29,6.99,Entrepreneur
55,115457,780,3,49811,1,0,808000,12,0.43,7.0,Salaried
51,116635,679,3,55733,1,0,583000,24,0.48,5.0,Salaried
51,109442,900,1,17434,1,0,876000,18,0.16,8.0,Salaried
57,132342,707,2,42617,1,0,926000,12,0.32,7.0,Government
42,69026,672,3,33629,1,0,483000,30,0.49,7.0,Salaried
50,109536,818,5,54768,1,0,876000,18,0.5,8.0,Government
38,68037,536,2,20417,1,1,340000,24,0.3,5.0,Self-Employed
45,69360,738,5,34680,1,0,555000,18,0.5,8.0,Salaried
40,65270,694,2,20168,1,0,457000,12,0.31,7.0,Self-Employed
43,67364,815,4,33682,1,0,539000,36,0.5,8.0,Salaried
49,108863,748,2,34591,1,0,653000,36,0.32,6.0,Government
32,60279,711,2,19494,1,0,482000,36,0.32,8.0,Entrepreneur
67,71011,753,1,10307,1,0,355000,30,0.15,5.0,Entrepreneur
29,36798,615,2,10765,1,0,184000,12,0.29,5.0,Salaried
27,12191,777,1,1680,0,0,51000,18,0.14,4.18,Gig Worker
55,115313,592,1,17568,1,0,577000,18,0.15,5.0,Government
51,29505,728,0,0,0,0,110000,30,0.0,3.73,Gig Worker
49,109930,702,2,29918,1,0,879000,30,0.27,8.0,Salaried
49,29193,558,5,14596,0,1,122000,36,0.5,4.18,Gig Worker
41,66648,705,3,30247,1,0,533000,36,0.45,8.0,Salaried
31,46323,722,1,6652,1,0,324000,24,0.14,6.99,Self-Employed
42,75837,647,2,23164,1,1,455000,18,0.31,6.0,Self-Employed
33,51541,619,2,14010,1,0,309000,12,0.27,6.0,Salaried
53,102529,739,2,27913,1,0,718000,30,0.27,7.0,Entrepreneur
40,65248,728,3,31256,1,0,522000,36,0.48,8.0,Salaried
32,62352,718,5,31176,1,0,499000,12,0.5,8.0,Salaried
38,65980,700,3,27476,1,0,462000,18,0.42,7.0,Salaried
46,103842,654,3,46937,1,0,623000,36,0.45,6.0,Salaried
35,54772,881,3,25978,1,0,383000,18,0.47,6.99,Entrepreneur
